date,AAPL,AMGN,AMZN,CPRT,EL,GS,ILMN,MA,PAA,RIO,TEF,UPS
26-02-00,24.238,41.564,103.442,3.936,30.648,125.236632,29.76,21.79463198,25.824,102.67,13.33,75.172
27-02-00,24.125,41.279,102.897,3.925,30.764,124.6259392,29.725,21.72893918,25.8,103.499,13.056,75.483
28-02-00,24.012,40.994,102.352,3.914,30.88,124.0152464,29.69,21.66324637,25.776,104.328,12.782,75.794
29-02-00,23.899,40.709,101.807,3.903,30.996,123.4045536,29.655,21.59755357,25.752,105.157,12.508,76.105
01-03-00,23.786,40.424,101.262,3.892,31.112,122.7938608,29.62,21.53186076,25.728,105.986,12.234,76.416
02-03-00,23.673,40.139,100.717,3.881,31.228,122.183168,29.585,21.46616796,25.704,106.815,11.96,76.727
03-03-00,23.56,39.854,100.172,3.87,31.344,121.5724752,29.55,21.40047515,25.68,107.644,11.686,77.038
04-03-00,23.447,39.569,99.627,3.859,31.46,120.9617823,29.515,21.33478235,25.656,108.473,11.412,77.349
05-03-00,23.334,39.284,99.082,3.848,31.576,120.3510895,29.48,21.26908954,25.632,109.302,11.138,77.66
06-03-00,23.221,38.999,98.537,3.837,31.692,119.7403967,29.445,21.20339674,25.608,110.131,10.864,77.971
07-03-00,23.108,38.714,97.992,3.826,31.808,119.1297039,29.41,21.13770393,25.584,110.96,10.59,78.282
08-03-00,22.995,38.429,97.447,3.815,31.924,118.5190111,29.375,21.07201113,25.56,111.789,10.316,78.593
09-03-00,22.882,38.144,96.902,3.804,32.04,117.9083183,29.34,21.00631832,25.536,112.618,10.042,78.904
10-03-00,22.769,37.859,96.357,3.793,32.156,117.2976255,29.305,20.94062552,25.512,113.447,9.768,79.215
11-03-00,22.656,37.574,95.812,3.782,32.272,116.6869327,29.27,20.87493271,25.488,114.276,9.494,79.526
12-03-00,22.543,37.289,95.267,3.771,32.388,116.0762399,29.235,20.80923991,25.464,115.105,9.22,79.837
13-03-00,22.43,37.004,94.722,3.76,32.504,115.4655471,29.2,20.7435471,25.44,115.934,8.946,80.148
14-03-00,22.317,36.719,94.177,3.749,32.62,114.8548543,29.165,20.6778543,25.416,116.763,8.672,80.459
15-03-00,22.204,36.434,93.632,3.738,32.736,114.2441615,29.13,20.61216149,25.392,117.592,8.398,80.77
16-03-00,22.091,36.149,93.087,3.727,32.852,113.6334687,29.095,20.54646869,25.368,118.421,8.124,81.081
17-03-00,21.978,35.864,92.542,3.716,32.968,113.0227759,29.06,20.48077588,25.344,119.25,7.85,81.392
18-03-00,21.865,35.579,91.997,3.705,33.084,112.4120831,29.025,20.41508308,25.32,120.079,7.576,81.703
19-03-00,21.752,35.294,91.452,3.694,33.2,111.8013903,28.99,20.34939027,25.296,120.908,7.302,82.014
20-03-00,21.639,35.009,90.907,3.683,33.316,111.1906975,28.955,20.28369747,25.272,121.737,7.028,82.325
21-03-00,21.526,34.724,90.362,3.672,33.432,110.5800047,28.92,20.21800466,25.248,122.566,6.754,82.636
22-03-00,21.413,34.439,89.817,3.661,33.548,109.9693119,28.885,20.15231186,25.224,123.395,6.48,82.947
23-03-00,21.3,34.154,89.272,3.65,33.664,109.3586191,28.85,20.08661905,25.2,124.224,6.206,83.258
24-03-00,21.187,33.869,88.727,3.639,33.78,108.7479262,28.815,20.02092625,25.176,125.053,5.932,83.569
25-03-00,21.074,33.584,88.182,3.628,33.896,108.1372334,28.78,19.95523344,25.152,125.882,5.658,83.88
26-03-00,20.961,33.299,87.637,3.617,34.012,107.5265406,28.745,19.88954064,25.128,126.711,5.384,84.191
27-03-00,20.848,33.014,87.092,3.606,34.128,106.9158478,28.71,19.82384783,25.104,127.54,5.11,84.502
28-03-00,20.735,32.729,86.547,3.595,34.244,106.305155,28.675,19.75815503,25.08,128.369,4.836,84.813
29-03-00,20.622,32.444,86.002,3.584,34.36,105.6944622,28.64,19.69246222,25.056,129.198,4.562,85.124
30-03-00,20.509,32.159,85.457,3.573,34.476,105.0837694,28.605,19.62676942,25.032,130.027,4.288,85.435
31-03-00,20.396,31.874,84.912,3.562,34.592,104.4730766,28.57,19.56107661,25.008,130.856,4.014,85.746
01-04-00,20.283,31.589,84.367,3.551,34.708,103.8623838,28.535,19.49538381,24.984,131.685,3.74,86.057
02-04-00,20.17,31.304,83.822,3.54,34.824,103.251691,28.5,19.429691,24.96,132.514,3.466,86.368
03-04-00,20.057,31.019,83.277,3.529,34.94,102.6409982,28.465,19.3639982,24.936,133.343,3.192,86.679
04-04-00,19.944,30.734,82.732,3.518,35.056,102.0303054,28.43,19.29830539,24.912,134.172,2.918,86.99
05-04-00,19.831,30.449,82.187,3.507,35.172,101.4196126,28.395,19.23261259,24.888,135.001,2.644,87.301
06-04-00,19.718,30.164,81.642,3.496,35.288,100.8089198,28.36,19.16691978,24.864,135.83,2.37,87.612
07-04-00,19.605,29.879,81.097,3.485,35.404,100.198227,28.325,19.10122698,24.84,136.659,2.096,87.923
08-04-00,19.492,29.594,80.552,3.474,35.52,99.58753417,28.29,19.03553417,24.816,137.488,1.822,88.234
09-04-00,19.379,29.309,80.007,3.463,35.636,98.97684137,28.255,18.96984137,24.792,138.317,1.548,88.545
10-04-00,19.266,29.024,79.462,3.452,35.752,98.36614856,28.22,18.90414856,24.768,139.146,1.274,88.856
11-04-00,19.153,28.739,78.917,3.441,35.868,97.75545576,28.185,18.83845576,24.744,139.975,1,89.167
12-04-00,19.04,28.454,78.372,3.43,35.984,97.14476295,28.15,18.77276295,24.72,140.804,0.726,89.478
13-04-00,18.927,28.169,77.827,3.419,36.1,96.53407015,28.115,18.70707015,24.696,141.633,0.452,89.789
14-04-00,18.814,27.884,77.282,3.408,36.216,95.92337734,28.08,18.64137734,24.672,142.462,0.178,90.1
15-04-00,18.701,27.599,76.737,3.397,36.332,95.31268454,28.045,18.57568454,24.648,143.291,-0.096,90.411
16-04-00,18.588,27.314,76.192,3.386,36.448,94.70199173,28.01,18.50999173,24.624,144.12,-0.37,90.722
17-04-00,18.475,27.029,75.647,3.375,36.564,94.09129893,27.975,18.44429893,24.6,144.949,-0.644,91.033
18-04-00,18.362,26.744,75.102,3.364,36.68,93.48060612,27.94,18.37860612,24.576,145.778,-0.918,91.344
19-04-00,18.249,26.459,74.557,3.353,36.796,92.86991332,27.905,18.31291332,24.552,146.607,-1.192,91.655
20-04-00,18.136,26.174,74.012,3.342,36.912,92.25922051,27.87,18.24722051,24.528,147.436,-1.466,91.966
21-04-00,18.023,25.889,73.467,3.331,37.028,91.64852771,27.835,18.18152771,24.504,148.265,-1.74,92.277
22-04-00,17.91,25.604,72.922,3.32,37.144,91.0378349,27.8,18.1158349,24.48,149.094,-2.014,92.588
23-04-00,17.797,25.319,72.377,3.309,37.26,90.4271421,27.765,18.0501421,24.456,149.923,-2.288,92.899
24-04-00,17.684,25.034,71.832,3.298,37.376,89.81644929,27.73,17.98444929,24.432,150.752,-2.562,93.21
25-04-00,17.571,24.749,71.287,3.287,37.492,89.20575649,27.695,17.91875649,24.408,151.581,-2.836,93.521
26-04-00,17.458,24.464,70.742,3.276,37.608,88.59506368,27.66,17.85306368,24.384,152.41,-3.11,93.832
27-04-00,17.345,24.179,70.197,3.265,37.724,87.98437088,27.625,17.78737088,24.36,153.239,-3.384,94.143
28-04-00,17.232,23.894,69.652,3.254,37.84,87.37367807,27.59,17.72167807,24.336,154.068,-3.658,94.454
29-04-00,17.119,23.609,69.107,3.243,37.956,86.76298527,27.555,17.65598527,24.312,154.897,-3.932,94.765
30-04-00,17.006,23.324,68.562,3.232,38.072,86.15229246,27.52,17.59029246,24.288,155.726,-4.206,95.076
01-05-00,16.893,23.039,68.017,3.221,38.188,85.54159966,27.485,17.52459966,24.264,156.555,-4.48,95.387
02-05-00,16.78,22.754,67.472,3.21,38.304,84.93090685,27.45,17.45890685,24.24,157.384,-4.754,95.698
03-05-00,16.667,22.469,66.927,3.199,38.42,84.32021405,27.415,17.39321405,24.216,158.213,-5.028,96.009
04-05-00,16.554,22.184,66.382,3.188,38.536,83.70952124,27.38,17.32752124,24.192,159.042,-5.302,96.32
05-05-00,16.441,21.899,65.837,3.177,38.652,83.09882844,27.345,17.26182844,24.168,159.871,-5.576,96.631
06-05-00,16.328,21.614,65.292,3.166,38.768,82.48813563,27.31,17.19613563,24.144,160.7,-5.85,96.942
07-05-00,16.215,21.329,64.747,3.155,38.884,81.87744283,27.275,17.13044283,24.12,161.529,-6.124,97.253
08-05-00,16.102,21.044,64.202,3.144,39,81.26675002,27.24,17.06475002,24.096,162.358,-6.398,97.564
09-05-00,15.989,20.759,63.657,3.133,39.116,80.65605722,27.205,16.99905722,24.072,163.187,-6.672,97.875
10-05-00,15.876,20.474,63.112,3.122,39.232,80.04536441,27.17,16.93336441,24.048,164.016,-6.946,98.186
11-05-00,15.763,20.189,62.567,3.111,39.348,79.43467161,27.135,16.86767161,24.024,164.845,-7.22,98.497
12-05-00,15.65,19.904,62.022,3.1,39.464,78.8239788,27.1,16.8019788,24,165.674,-7.494,98.808
13-05-00,15.537,19.619,61.477,3.089,39.58,78.213286,27.065,16.736286,23.976,166.503,-7.768,99.119
14-05-00,15.424,19.334,60.932,3.078,39.696,77.60259319,27.03,16.67059319,23.952,167.332,-8.042,99.43
15-05-00,15.311,19.049,60.387,3.067,39.812,76.99190039,26.995,16.60490039,23.928,168.161,-8.316,99.741
16-05-00,15.198,18.764,59.842,3.056,39.928,76.38120758,26.96,16.53920758,23.904,168.99,-8.59,100.052
17-05-00,15.085,18.479,59.297,3.045,40.044,75.77051478,26.925,16.47351478,23.88,169.819,-8.864,100.363
18-05-00,14.972,18.194,58.752,3.034,40.16,75.15982197,26.89,16.40782197,23.856,170.648,-9.138,100.674
19-05-00,14.859,17.909,58.207,3.023,40.276,74.54912917,26.855,16.34212917,23.832,171.477,-9.412,100.985
20-05-00,14.746,17.624,57.662,3.012,40.392,73.93843636,26.82,16.27643636,23.808,172.306,-9.686,101.296
21-05-00,14.633,17.339,57.117,3.001,40.508,73.32774356,26.785,16.21074356,23.784,173.135,-9.96,101.607
22-05-00,14.52,17.054,56.572,2.99,40.624,72.71705075,26.75,16.14505075,23.76,173.964,-10.234,101.918
23-05-00,14.407,16.769,56.027,2.979,40.74,72.10635795,26.715,16.07935795,23.736,174.793,-10.508,102.229
24-05-00,14.294,16.484,55.482,2.968,40.856,71.49566514,26.68,16.01366514,23.712,175.622,-10.782,102.54
25-05-00,14.181,16.199,54.937,2.957,40.972,70.88497234,26.645,15.94797234,23.688,176.451,-11.056,102.851
26-05-00,14.068,15.914,54.392,2.946,41.088,70.27427953,26.61,15.88227953,23.664,177.28,-11.33,103.162
27-05-00,13.955,15.629,53.847,2.935,41.204,69.66358673,26.575,15.81658673,23.64,178.109,-11.604,103.473
28-05-00,13.842,15.344,53.302,2.924,41.32,69.05289392,26.54,15.75089392,23.616,178.938,-11.878,103.784
29-05-00,13.729,15.059,52.757,2.913,41.436,68.44220112,26.505,15.68520112,23.592,179.767,-12.152,104.095
30-05-00,13.616,14.774,52.212,2.902,41.552,67.83150831,26.47,15.61950831,23.568,180.596,-12.426,104.406
31-05-00,13.503,14.489,51.667,2.891,41.668,67.22081551,26.435,15.55381551,23.544,181.425,-12.7,104.717
01-06-00,13.39,14.204,51.122,2.88,41.784,66.6101227,26.4,15.4881227,23.52,182.254,-12.974,105.028
02-06-00,13.277,13.919,50.577,2.869,41.9,65.9994299,26.365,15.4224299,23.496,183.083,-13.248,105.339
03-06-00,13.164,13.634,50.032,2.858,42.016,65.38873709,26.33,15.35673709,23.472,183.912,-13.522,105.65
04-06-00,13.051,13.349,49.487,2.847,42.132,64.77804429,26.295,15.29104429,23.448,184.741,-13.796,105.961
05-06-00,12.938,13.064,48.942,2.836,42.248,64.16735148,26.26,15.22535148,23.424,185.57,-14.07,106.272
06-06-00,12.825,12.779,48.397,2.825,42.364,63.55665868,26.225,15.15965868,23.4,186.399,-14.344,106.583
07-06-00,12.712,12.494,47.852,2.814,42.48,62.94596587,26.19,15.09396587,23.376,187.228,-14.618,106.894
08-06-00,12.599,12.209,47.307,2.803,42.596,62.33527307,26.155,15.02827307,23.352,188.057,-14.892,107.205
09-06-00,12.486,11.924,46.762,2.792,42.712,61.72458026,26.12,14.96258026,23.328,188.886,-15.166,107.516
10-06-00,12.373,11.639,46.217,2.781,42.828,61.11388746,26.085,14.89688746,23.304,189.715,-15.44,107.827
11-06-00,12.26,11.354,45.672,2.77,42.944,60.50319465,26.05,14.83119465,23.28,190.544,-15.714,108.138
12-06-00,12.147,11.069,45.127,2.759,43.06,59.89250185,26.015,14.76550185,23.256,191.373,-15.988,108.449
13-06-00,12.034,10.784,44.582,2.748,43.176,59.28180904,25.98,14.69980904,23.232,192.202,-16.262,108.76
14-06-00,11.921,10.499,44.037,2.737,43.292,58.67111624,25.945,14.63411624,23.208,193.031,-16.536,109.071
15-06-00,11.808,10.214,43.492,2.726,43.408,58.06042343,25.91,14.56842343,23.184,193.86,-16.81,109.382
16-06-00,11.695,9.929,42.947,2.715,43.524,57.44973063,25.875,14.50273063,23.16,194.689,-17.084,109.693
17-06-00,11.582,9.644,42.402,2.704,43.64,56.83903782,25.84,14.43703782,23.136,195.518,-17.358,110.004
18-06-00,11.469,9.359,41.857,2.693,43.756,56.22834502,25.805,14.37134502,23.112,196.347,-17.632,110.315
19-06-00,11.356,9.074,41.312,2.682,43.872,55.61765221,25.77,14.30565221,23.088,197.176,-17.906,110.626
20-06-00,11.243,8.789,40.767,2.671,43.988,55.00695941,25.735,14.23995941,23.064,198.005,-18.18,110.937
21-06-00,11.13,8.504,40.222,2.66,44.104,54.3962666,25.7,14.1742666,23.04,198.834,-18.454,111.248
22-06-00,11.017,8.219,39.677,2.649,44.22,53.7855738,25.665,14.1085738,23.016,199.663,-18.728,111.559
23-06-00,10.904,7.934,39.132,2.638,44.336,53.17488099,25.63,14.04288099,22.992,200.492,-19.002,111.87
24-06-00,10.791,7.649,38.587,2.627,44.452,52.56418819,25.595,13.97718819,22.968,201.321,-19.276,112.181
25-06-00,10.678,7.364,38.042,2.616,44.568,51.95349538,25.56,13.91149538,22.944,202.15,-19.55,112.492
26-06-00,10.565,7.079,37.497,2.605,44.684,51.34280258,25.525,13.84580258,22.92,202.979,-19.824,112.803
27-06-00,10.452,6.794,36.952,2.594,44.8,50.73210977,25.49,13.78010977,22.896,203.808,-20.098,113.114
28-06-00,10.339,6.509,36.407,2.583,44.916,50.12141697,25.455,13.71441697,22.872,204.637,-20.372,113.425
29-06-00,10.226,6.224,35.862,2.572,45.032,49.51072416,25.42,13.64872416,22.848,205.466,-20.646,113.736
30-06-00,10.113,5.939,35.317,2.561,45.148,48.90003136,25.385,13.58303136,22.824,206.295,-20.92,114.047
01-07-00,10,5.654,34.772,2.55,45.264,48.28933855,25.35,13.51733855,22.8,207.124,-21.194,114.358
02-07-00,9.887,5.369,34.227,2.539,45.38,47.67864575,25.315,13.45164575,22.776,207.953,-21.468,114.669
03-07-00,9.774,5.084,33.682,2.528,45.496,47.06795294,25.28,13.38595294,22.752,208.782,-21.742,114.98
04-07-00,9.661,4.799,33.137,2.517,45.612,46.45726014,25.245,13.32026014,22.728,209.611,-22.016,115.291
05-07-00,9.548,4.514,32.592,2.506,45.728,45.84656733,25.21,13.25456733,22.704,210.44,-22.29,115.602
06-07-00,9.435,4.229,32.047,2.495,45.844,45.23587453,25.175,13.18887453,22.68,211.269,-22.564,115.913
07-07-00,9.322,3.944,31.502,2.484,45.96,44.62518172,25.14,13.12318172,22.656,212.098,-22.838,116.224
08-07-00,9.209,3.659,30.957,2.473,46.076,44.01448892,25.105,13.05748892,22.632,212.927,-23.112,116.535
09-07-00,9.096,3.374,30.412,2.462,46.192,43.40379611,25.07,12.99179611,22.608,213.756,-23.386,116.846
10-07-00,8.983,3.089,29.867,2.451,46.308,42.79310331,25.035,12.92610331,22.584,214.585,-23.66,117.157
11-07-00,8.87,2.804,29.322,2.44,46.424,42.1824105,25,12.8604105,22.56,215.414,-23.934,117.468
12-07-00,8.757,2.519,28.777,2.429,46.54,41.5717177,24.965,12.7947177,22.536,216.243,-24.208,117.779
13-07-00,8.644,2.234,28.232,2.418,46.656,40.96102489,24.93,12.72902489,22.512,217.072,-24.482,118.09
14-07-00,8.531,1.949,27.687,2.407,46.772,40.35033209,24.895,12.66333209,22.488,217.901,-24.756,118.401
15-07-00,8.418,1.664,27.142,2.396,46.888,39.73963928,24.86,12.59763928,22.464,218.73,-25.03,118.712
16-07-00,8.305,1.379,26.597,2.385,47.004,39.12894648,24.825,12.53194648,22.44,219.559,-25.304,119.023
17-07-00,8.192,1.094,26.052,2.374,47.12,38.51825367,24.79,12.46625367,22.416,220.388,-25.578,119.334
18-07-00,8.079,0.809,25.507,2.363,47.236,37.90756087,24.755,12.40056087,22.392,221.217,-25.852,119.645
19-07-00,7.966,0.524,24.962,2.352,47.352,37.29686806,24.72,12.33486806,22.368,222.046,-26.126,119.956
20-07-00,7.853,0.239,24.417,2.341,47.468,36.68617526,24.685,12.26917526,22.344,222.875,-26.4,120.267
21-07-00,7.74,-0.046,23.872,2.33,47.584,36.07548245,24.65,12.20348245,22.32,223.704,-26.674,120.578
22-07-00,7.627,-0.331,23.327,2.319,47.7,35.46478965,24.615,12.13778965,22.296,224.533,-26.948,120.889
23-07-00,7.514,-0.616,22.782,2.308,47.816,34.85409684,24.58,12.07209684,22.272,225.362,-27.222,121.2
24-07-00,7.401,-0.901,22.237,2.297,47.932,34.24340404,24.545,12.00640404,22.248,226.191,-27.496,121.511
25-07-00,7.288,-1.186,21.692,2.286,48.048,33.63271123,24.51,11.94071123,22.224,227.02,-27.77,121.822
26-07-00,7.175,-1.471,21.147,2.275,48.164,33.02201843,24.475,11.87501843,22.2,227.849,-28.044,122.133
27-07-00,7.062,-1.756,20.602,2.264,48.28,32.41132562,24.44,11.80932562,22.176,228.678,-28.318,122.444
28-07-00,6.949,-2.041,20.057,2.253,48.396,31.80063282,24.405,11.74363282,22.152,229.507,-28.592,122.755
29-07-00,6.836,-2.326,19.512,2.242,48.512,31.18994001,24.37,11.67794001,22.128,230.336,-28.866,123.066
30-07-00,6.723,-2.611,18.967,2.231,48.628,30.57924721,24.335,11.61224721,22.104,231.165,-29.14,123.377
31-07-00,6.61,-2.896,18.422,2.22,48.744,29.9685544,24.3,11.5465544,22.08,231.994,-29.414,123.688
01-08-00,6.497,-3.181,17.877,2.209,48.86,29.3578616,24.265,11.4808616,22.056,232.823,-29.688,123.999
02-08-00,6.384,-3.466,17.332,2.198,48.976,28.74716879,24.23,11.41516879,22.032,233.652,-29.962,124.31
03-08-00,6.271,-3.751,16.787,2.187,49.092,28.13647599,24.195,11.34947599,22.008,234.481,-30.236,124.621
04-08-00,6.158,-4.036,16.242,2.176,49.208,27.52578318,24.16,11.28378318,21.984,235.31,-30.51,124.932
05-08-00,6.045,-4.321,15.697,2.165,49.324,26.91509038,24.125,11.21809038,21.96,236.139,-30.784,125.243
06-08-00,5.932,-4.606,15.152,2.154,49.44,26.30439757,24.09,11.15239757,21.936,236.968,-31.058,125.554
07-08-00,5.819,-4.891,14.607,2.143,49.556,25.69370477,24.055,11.08670477,21.912,237.797,-31.332,125.865
08-08-00,5.706,-5.176,14.062,2.132,49.672,25.08301196,24.02,11.02101196,21.888,238.626,-31.606,126.176
09-08-00,5.593,-5.461,13.517,2.121,49.788,24.47231916,23.985,10.95531916,21.864,239.455,-31.88,126.487
10-08-00,5.48,-5.746,12.972,2.11,49.904,23.86162635,23.95,10.88962635,21.84,240.284,-32.154,126.798
11-08-00,5.367,-6.031,12.427,2.099,50.02,23.25093355,23.915,10.82393355,21.816,241.113,-32.428,127.109
12-08-00,5.254,-6.316,11.882,2.088,50.136,22.64024074,23.88,10.75824074,21.792,241.942,-32.702,127.42
13-08-00,5.141,-6.601,11.337,2.077,50.252,22.02954794,23.845,10.69254794,21.768,242.771,-32.976,127.731
14-08-00,5.028,-6.886,10.792,2.066,50.368,21.41885513,23.81,10.62685513,21.744,243.6,-33.25,128.042
15-08-00,4.915,-7.171,10.247,2.055,50.484,20.80816233,23.775,10.56116233,21.72,244.429,-33.524,128.353
16-08-00,4.802,-7.456,9.702,2.044,50.6,20.19746952,23.74,10.49546952,21.696,245.258,-33.798,128.664
17-08-00,4.689,-7.741,9.157,2.033,50.716,19.58677672,23.705,10.42977672,21.672,246.087,-34.072,128.975
18-08-00,4.576,-8.026,8.612,2.022,50.832,18.97608391,23.67,10.36408391,21.648,246.916,-34.346,129.286
19-08-00,4.463,-8.311,8.067,2.011,50.948,18.36539111,23.635,10.29839111,21.624,247.745,-34.62,129.597
20-08-00,4.35,-8.596,7.522,2,51.064,17.7546983,23.6,10.2326983,21.6,248.574,-34.894,129.908
21-08-00,4.237,-8.881,6.977,1.989,51.18,17.1440055,23.565,10.1670055,21.576,249.403,-35.168,130.219
22-08-00,4.124,-9.166,6.432,1.978,51.296,16.53331269,23.53,10.10131269,21.552,250.232,-35.442,130.53
23-08-00,4.011,-9.451,5.887,1.967,51.412,15.92261989,23.495,10.03561989,21.528,251.061,-35.716,130.841
24-08-00,3.898,-9.736,5.342,1.956,51.528,15.31192708,23.46,9.969927085,21.504,251.89,-35.99,131.152
25-08-00,3.785,-10.021,4.797,1.945,51.644,14.70123428,23.425,9.90423428,21.48,252.719,-36.264,131.463
26-08-00,3.672,-10.306,4.252,1.934,51.76,14.09054147,23.39,9.838541475,21.456,253.548,-36.538,131.774
